system,workflow_pattern,workload,chunks,repetition,run_kind,task_name,task_start_ns,task_end_ns,task_duration_seconds
nextflow,scatter_gather,long,4,2,nextflow,generate_input,1783671672344550770,1783671672346446046,0.001895276
nextflow,scatter_gather,long,4,2,nextflow,preprocess,1783671672474071137,1783671672476160430,0.002089293
nextflow,scatter_gather,long,4,2,nextflow,split,1783671672579983914,1783671672586495471,0.006511557
nextflow,scatter_gather,long,4,2,nextflow,compute_1,1783671672724204067,1783671724207121070,51.482917003
nextflow,scatter_gather,long,4,2,nextflow,compute_2,1783671672717638174,1783671721641529620,48.923891446
nextflow,scatter_gather,long,4,2,nextflow,compute_3,1783671672701328900,1783671722869765315,50.168436415
nextflow,scatter_gather,long,4,2,nextflow,compute_4,1783671672709068192,1783671720020380191,47.311311999
nextflow,scatter_gather,long,4,2,nextflow,aggregate,1783671724371772806,1783671724375505110,0.003732304
nextflow,scatter_gather,long,4,2,nextflow,postprocess,1783671724460519019,1783671724462332022,0.001813003
