system,workflow_pattern,workload,chunks,repetition,run_kind,task_name,task_start_ns,task_end_ns,task_duration_seconds
nextflow,scatter_gather,medium,4,5,nextflow,generate_input,1783181449401622000,1783181449401973000,0.000351
nextflow,scatter_gather,medium,4,5,nextflow,preprocess,1783181449504437000,1783181449505557000,0.00112
nextflow,scatter_gather,medium,4,5,nextflow,split,1783181449595746000,1783181449597213000,0.001467
nextflow,scatter_gather,medium,4,5,nextflow,compute_1,1783181449715361000,1783181464924568000,15.209207
nextflow,scatter_gather,medium,4,5,nextflow,compute_2,1783181449713814000,1783181464923084000,15.20927
nextflow,scatter_gather,medium,4,5,nextflow,compute_3,1783181449721209000,1783181464933026000,15.211817
nextflow,scatter_gather,medium,4,5,nextflow,compute_4,1783181449721115000,1783181464043423000,14.322308
nextflow,scatter_gather,medium,4,5,nextflow,aggregate,1783181465034578000,1783181465035517000,0.000939
nextflow,scatter_gather,medium,4,5,nextflow,postprocess,1783181465108937000,1783181465109435000,0.000498
