system,workflow_pattern,workload,chunks,repetition,run_kind,task_name,task_start_ns,task_end_ns,task_duration_seconds
reference,scatter_gather,medium,1,3,reference,generate_input,1783669063756409286,1783669063758018356,0.00160907
reference,scatter_gather,medium,1,3,reference,preprocess,1783669063795163283,1783669063797306497,0.002143214
reference,scatter_gather,medium,1,3,reference,split,1783669063828486784,1783669063830529776,0.002042992
reference,scatter_gather,medium,1,3,reference,compute_1,1783669063869723213,1783669105639451778,41.769728565
reference,scatter_gather,medium,1,3,reference,aggregate,1783669105721573612,1783669105723822776,0.002249164
reference,scatter_gather,medium,1,3,reference,postprocess,1783669105754901372,1783669105757101437,0.002200065
