system,pattern,workload,chunks,repetition,ref_makespan_s,wms_makespan_s,overhead_s,overhead_pct,ratio,ref_compute_phase_s,wms_compute_phase_s,wms_task_span_s,wms_gen_to_pre_s,wms_pre_to_comp_s,wms_comp_to_post_s,wms_pre_to_split_s,wms_split_to_comp_s,wms_comp_to_agg_s,wms_agg_to_post_s,wms_start_spread_s
streamflow,scatter_gather,medium,1,1,53.535623125,55.179798750,1.644175625,3.071180513,1.030711805,53.342622000,53.385262000,53.673320000,0.054456000,,,0.050619000,0.053513000,0.074225000,0.053643000,0.000000000
streamflow,scatter_gather,medium,1,2,53.862081125,55.716993083,1.854911958,3.443817839,1.034438178,53.647595000,53.393855000,53.692329000,0.055691000,,,0.051405000,0.059477000,0.065826000,0.061977000,0.000000000
streamflow,scatter_gather,medium,1,3,53.585147500,55.746996542,2.161849042,4.034418384,1.040344184,53.370740000,53.466944000,53.771739000,0.053486000,,,0.052344000,0.055485000,0.077853000,0.064081000,0.000000000
streamflow,scatter_gather,medium,1,4,53.776495666,55.659883458,1.883387792,3.502250879,1.035022509,53.566516000,53.615465000,53.903716000,0.052459000,,,0.051965000,0.056222000,0.069802000,0.056278000,0.000000000
streamflow,scatter_gather,medium,1,5,53.686497583,55.704454583,2.017957000,3.758779378,1.037587794,53.476769000,53.504386000,53.819523000,0.057851000,,,0.053388000,0.061677000,0.085022000,0.055322000,0.000000000
streamflow,scatter_gather,medium,2,1,27.224855750,28.845954708,1.621098958,5.954481349,1.059544813,27.024058000,27.049162000,27.331748000,0.053810000,,,0.050943000,0.059795000,0.066346000,0.049999000,0.009720000
streamflow,scatter_gather,medium,2,2,27.175108375,29.008317625,1.833209250,6.745913299,1.067459133,26.979256000,26.929239000,27.202213000,0.051029000,,,0.050142000,0.058016000,0.062199000,0.049891000,0.008341000
streamflow,scatter_gather,medium,2,3,27.225446917,29.211532000,1.986085083,7.294958606,1.072949586,27.034739000,27.020534000,27.308407000,0.051448000,,,0.050028000,0.058386000,0.076110000,0.050232000,0.007957000
streamflow,scatter_gather,medium,2,4,27.143902750,29.051299292,1.907396542,7.026979722,1.070269797,26.944096000,27.040913000,27.351525000,0.053816000,,,0.054772000,0.061442000,0.081060000,0.057371000,0.010897000
streamflow,scatter_gather,medium,2,5,27.345235875,29.115834459,1.770598584,6.474980110,1.064749801,27.134217000,27.051664000,27.357642000,0.060362000,,,0.058761000,0.062495000,0.068687000,0.053621000,0.009454000
